,epoch,training loss,validation loss
654,654,411844.8282737732,313417.96963500977
655,655,409415.0665283203,314581.17066955566
656,656,403528.8760986328,320255.46745300293
657,657,403458.02250671387,321643.9493560791
658,658,403591.2524719238,322761.3356628418
659,659,400246.4202079773,299122.49310302734
660,660,401407.7129936218,329850.50341796875
661,661,397037.0551452637,299326.72479248047
662,662,397970.0985031128,340207.02670288086
663,663,394610.75911712646,324259.0255432129
664,664,390738.7947540283,332845.9556274414
665,665,390709.0362854004,336673.8015136719
666,666,392586.95051574707,328542.74627685547
667,667,388018.8340084553,315889.123046875
668,668,390911.6432248354,329005.8141479492
669,669,382402.0143661499,303729.76080322266
670,670,391722.11946105957,353985.03062438965
671,671,384549.3093185425,333226.0128555298
672,672,411217.3203086853,320206.4969329834
673,673,382845.41789245605,328593.41955566406
674,674,383042.5265045166,353373.39613342285
675,675,403791.85300159454,323720.30531311035
676,676,390221.616897583,316134.39654541016
677,677,384821.4218521118,335968.0679779053
678,678,387684.5293045044,353074.2301197052
679,679,374563.88471984863,323223.5530395508
680,680,389670.1347732544,303616.55322265625
681,681,396802.3086242676,319463.28338623047
682,682,392918.4674978256,339810.3212890625
683,683,377657.098526001,318199.61923217773
684,684,398567.55962753296,318159.8676452637
685,685,384081.45976257324,337730.48178100586
686,686,381861.0406398773,322845.43908691406
687,687,384478.60821533203,328679.1650695801
688,688,384863.2547340393,319851.69006347656
689,689,381087.488155365,326745.4312133789
690,690,404694.2798461914,324840.0506591797
691,691,381787.8290023804,340853.71447753906
692,692,384756.8454437256,323359.87811279297
693,693,378325.1787414551,328739.70208740234
694,694,391377.40885925293,343458.1865282059
695,695,371133.6629714966,337688.4881286621
696,696,383592.9144592285,368047.8582763672
697,697,417480.816696167,317448.0962524414
698,698,380690.45656967163,319031.2180175781
699,699,374400.24478149414,317124.7575683594
